ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CYB,"[0.09, 0.08, 0.07, 0.07, 0.07, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.09, 0.1, 0.08, 0.09, 0.09]",-6.59%,8.95%,,,,,
C29,,-4.17%,12.25%,"[0.05, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, 0.06, 0.06, 0.06, 0.05, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.05]",,,,
CDM,,-3.03%,1.02%,"[0.66, 0.64, 0.65, 0.65, 0.66, 0.64, 0.65, 0.64, 0.64, 0.64, 0.64, 0.65, 0.65, 0.65, 0.66, 0.65, 0.64, 0.64, 0.64, 0.64]",,,,
CDO,"[1.67, 1.67, 1.63, 1.67, 1.68, 1.68, 1.63, 1.64, 1.64, 1.7, 1.7, 1.7, 1.7, 1.71, 1.7, 1.65]",-1.49%,1.58%,,,,,
CCM,,-5.88%,5.0%,,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",,,
CXL,,-19.47%,8.84%,"[0.38, 0.38, 0.38, 0.44, 0.45, 0.41, 0.4, 0.38, 0.39, 0.38, 0.37, 0.41, 0.41, 0.4, 0.4, 0.41, 0.38, 0.34, 0.33, 0.3]",,,,
CMB,,-20.0%,8.62%,,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.31, 0.32, 0.31, 0.28, 0.28, 0.28]",,,
CHL,,-6.25%,3.94%,"[0.48, 0.44, 0.5, 0.49, 0.48, 0.48, 0.49, 0.47, 0.49, 0.51, 0.5, 0.5, 0.5, 0.5, 0.5, 0.51, 0.5, 0.5, 0.48, 0.45]",,,,
CP8,,-9.09%,7.93%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03]",,
CAN,,12.5%,4.38%,,,"[0.02, 0.02, 0.03, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.03]",,
CAE,,-24.32%,14.29%,"[0.07, 0.07, 0.07, 0.07, 0.07, 0.08, 0.09, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.08, 0.07, 0.06, 0.06, 0.06, 0.06]",,,,
CBY,,-3.7%,6.34%,,,"[0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03]",,
CAY,,-10.42%,3.81%,"[0.24, 0.24, 0.22, 0.23, 0.22, 0.22, 0.25, 0.22, 0.23, 0.22, 0.22, 0.24, 0.22, 0.23, 0.22, 0.23, 0.22, 0.22, 0.22, 0.22]",,,,
CAG,,-5.26%,2.48%,,,"[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]",,
CAA,,-4.37%,1.65%,"[10.3, 10.22, 10.05, 10.0, 9.92, 10.05, 10.18, 10.3, 10.0, 10.13, 10.05, 9.99, 9.8, 10.28, 10.0, 9.86, 9.83, 9.8, 9.89, 9.85]",,,,
CRS,,-12.28%,18.47%,"[0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.06, 0.06, 0.06, 0.07, 0.07, 0.07, 0.07, 0.07, 0.09, 0.09, 0.06, 0.05, 0.05, 0.05]",,,,
CMM,,9.39%,3.22%,"[7.67, 7.44, 7.44, 7.84, 7.99, 8.22, 8.37, 8.02, 8.21, 8.14, 8.12, 8.19, 8.12, 7.99, 8.15, 8.08, 8.13, 7.95, 8.05, 8.39]",,,,
CSC,,-22.03%,8.16%,"[9.08, 8.11, 8.52, 8.7, 8.81, 8.9, 9.4, 9.46, 9.57, 9.64, 9.57, 9.69, 9.68, 9.26, 8.92, 8.51, 8.26, 8.28, 7.68, 7.08]",,,,
